node_id,osm_name,dob_nearest_m,dob_n_within,dob_shed,dob_any,dob_types
n00370,East 36th Street,54.8,0,False,False,
n00371,East 36th Street,62.5,0,False,False,
n00372,East 36th Street,74.9,0,False,False,
n00373,East 36th Street,78.1,0,False,False,
n00374,East 36th Street,79.2,0,False,False,
n00375,East 36th Street,79.2,0,False,False,
n00376,East 36th Street,80.0,0,False,False,
n00377,East 36th Street,83.9,0,False,False,
n00378,East 36th Street,79.7,0,False,False,
n00379,East 36th Street,74.7,0,False,False,
n00380,East 36th Street,54.7,0,False,False,
n00381,East 36th Street,34.8,0,False,False,
n00382,East 36th Street,14.7,3,True,True,Construction Fence|Sidewalk Shed|Supported Scaffold
n00383,East 36th Street,5.5,3,True,True,Construction Fence|Sidewalk Shed|Supported Scaffold
n00384,East 36th Street,25.3,3,True,True,Construction Fence|Sidewalk Shed|Supported Scaffold
n00385,East 36th Street,31.4,0,False,False,
n00386,East 36th Street,11.4,1,True,True,Sidewalk Shed
n00387,East 36th Street,8.6,1,True,True,Sidewalk Shed
n00388,East 36th Street,28.6,1,True,True,Sidewalk Shed
n00389,East 36th Street,22.9,5,True,True,Sidewalk Shed|Supported Scaffold|Suspended Scaffold
n00390,East 36th Street,2.9,6,True,True,Sidewalk Shed|Supported Scaffold|Suspended Scaffold
n00391,East 36th Street,4.0,6,True,True,Sidewalk Shed|Supported Scaffold|Suspended Scaffold
n00392,East 36th Street,23.7,1,False,True,Suspended Scaffold
n00393,East 36th Street,43.7,0,False,False,
n00394,East 36th Street,63.7,0,False,False,
n00395,East 36th Street,82.7,0,False,False,
n00396,East 36th Street,78.8,0,False,False,
n00397,East 36th Street,82.5,0,False,False,
n00398,East 36th Street,88.2,0,False,False,
n00399,East 36th Street,97.3,0,False,False,
n00400,East 36th Street,109.1,0,False,False,
n00401,East 36th Street,123.4,0,False,False,
n00402,East 36th Street,119.6,0,False,False,
n00403,East 36th Street,99.6,0,False,False,
n00404,East 36th Street,79.6,0,False,False,
n00405,East 36th Street,59.7,0,False,False,
n00406,East 36th Street,39.6,0,False,False,
n00407,East 36th Street,19.6,1,False,True,Suspended Scaffold
n00408,East 37th Street,23.2,6,True,True,Sidewalk Shed|Supported Scaffold
n00409,East 37th Street,10.0,6,True,True,Sidewalk Shed|Supported Scaffold
n00410,East 37th Street,10.1,6,True,True,Sidewalk Shed|Supported Scaffold
n00411,East 37th Street,30.1,0,False,False,
n00412,East 37th Street,50.0,0,False,False,
n00413,East 37th Street,70.0,0,False,False,
n00414,East 37th Street,77.6,0,False,False,
n00415,East 37th Street,57.6,0,False,False,
n00416,East 37th Street,37.6,0,False,False,
n00417,East 37th Street,17.6,2,True,True,Sidewalk Shed|Supported Scaffold
n00418,East 37th Street,2.9,6,True,True,Sidewalk Shed|Supported Scaffold
n00419,East 37th Street,7.9,7,True,True,Sidewalk Shed|Supported Scaffold|Suspended Scaffold
n00420,East 37th Street,2.4,16,True,True,Sidewalk Shed|Supported Scaffold|Suspended Scaffold
n00421,East 37th Street,1.9,12,True,True,Sidewalk Shed|Supported Scaffold|Suspended Scaffold
n00422,East 37th Street,21.8,11,True,True,Sidewalk Shed|Supported Scaffold
n00423,East 37th Street,41.8,0,False,False,
n00424,East 37th Street,61.8,0,False,False,
n00425,East 37th Street,81.8,0,False,False,
n00426,East 37th Street,78.0,0,False,False,
n00427,East 37th Street,76.9,0,False,False,
n00428,East 37th Street,66.3,0,False,False,
n00429,East 37th Street,48.4,0,False,False,
n00430,East 37th Street,33.2,0,False,False,
n00431,East 37th Street,25.6,2,True,True,Sidewalk Shed|Suspended Scaffold
n00432,East 37th Street,32.0,0,False,False,
n00433,East 37th Street,46.8,0,False,False,
n00434,East 37th Street,65.1,0,False,False,
n00435,East 37th Street,75.6,0,False,False,
n00436,East 37th Street,73.6,0,False,False,
n00437,East 37th Street,75.7,0,False,False,
n00438,East 37th Street,81.3,0,False,False,
n00439,East 37th Street,71.3,0,False,False,
n00440,East 37th Street,51.4,0,False,False,
n00441,East 37th Street,31.4,0,False,False,
n00442,East 37th Street,11.4,2,True,True,Sidewalk Shed|Suspended Scaffold
n00443,East 37th Street,8.7,2,True,True,Sidewalk Shed|Suspended Scaffold
n00444,East 37th Street,28.6,2,True,True,Sidewalk Shed|Suspended Scaffold
n00445,East 37th Street,48.6,0,False,False,
n00446,East 37th Street,68.6,0,False,False,
n00447,East 37th Street,82.9,0,False,False,
n00448,East 37th Street,79.5,0,False,False,
n00449,East 37th Street,81.0,0,False,False,
n00450,East 37th Street,70.7,0,False,False,
n00451,East 37th Street,51.6,0,False,False,
n00452,East 37th Street,33.4,0,False,False,
n00453,East 37th Street,19.0,3,True,True,Sidewalk Shed|Supported Scaffold|Suspended Scaffold
n00454,East 37th Street,16.6,7,True,True,Sidewalk Shed|Supported Scaffold|Suspended Scaffold
n00501,East 38th Street,47.6,0,False,False,
n00500,East 38th Street,52.6,0,False,False,
n00499,East 38th Street,62.9,0,False,False,
n00498,East 38th Street,42.9,0,False,False,
n00497,East 38th Street,22.9,5,True,True,Construction Fence|Sidewalk Shed|Supported Scaffold|Suspended Scaffold
n00496,East 38th Street,3.2,5,True,True,Construction Fence|Sidewalk Shed|Supported Scaffold|Suspended Scaffold
n00495,East 38th Street,17.3,5,True,True,Construction Fence|Sidewalk Shed|Supported Scaffold|Suspended Scaffold
n00494,East 38th Street,37.2,0,False,False,
n00493,East 38th Street,31.5,0,False,False,
