node_id,osm_name,chain,chain_pos_m,lat,lon,typology,northing_m,easting_m,in_study,in_cleaned,cleaned_street,cleaned_direction,cleaned_id,street_segment,cross_dist,along_dist,mapping_id,is_tunnel,is_bridge,osm_heading_fwd,osm_heading_rev,usable,exclude_reason
n00647,East 42nd Street,east_42nd_street,120.00949289892262,40.752316,-73.978155,mid_block,653.1363359599336,120.09829008740452,True,True,east_42nd_street,Eastbound,east_42nd_street_007,east_42nd_street,-338.371350092154,311.37429971971284,east_42nd_street_007,0.0,0.0,298.4,118.4,True,
n00648,East 42nd Street,east_42nd_street,140.0504094244901,40.75222899999999,-73.977947,mid_block,653.2294283023573,140.10284443843625,True,True,east_42nd_street,Eastbound,east_42nd_street_008,east_42nd_street,-318.3324820896163,311.43566431807426,east_42nd_street_008,0.0,0.0,298.8,118.8,True,
n00649,East 42nd Street,east_42nd_street,160.03808205872474,40.75214299999999,-73.977739,mid_block,653.4192011076511,160.05380793380044,True,True,east_42nd_street,Eastbound,east_42nd_street_009,east_42nd_street,-298.347452280527,311.5941555884743,east_42nd_street_009,0.0,1.0,19.2,199.2,True,
n00650,East 42nd Street,east_42nd_street,180.02577525153322,40.75205699999999,-73.977531,mid_block,653.6089739136319,180.0047714287839,True,True,east_42nd_street,Eastbound,east_42nd_street_010,east_42nd_street,-278.3624224718204,311.7526468595644,east_42nd_street_010,0.0,0.0,298.5,118.5,True,
n00651,East 42nd Street,east_42nd_street,200.01348900477723,40.75197099999999,-73.977323,mid_block,653.7987467189256,199.9557349241481,True,True,east_42nd_street,Eastbound,east_42nd_street_011,east_42nd_street,-258.37739266273115,311.91113812996446,east_42nd_street_011,0.0,0.0,298.5,118.5,True,
n00652,East 42nd Street,east_42nd_street,220.0544877904805,40.75188399999999,-73.977115,mid_block,653.8918390620363,219.9602892747991,True,True,east_42nd_street,Eastbound,east_42nd_street_012,east_42nd_street,-238.33852466019343,311.9725027283258,east_42nd_street_012,0.0,0.0,298.6,118.6,True,
n00653,East 42nd Street,east_42nd_street,239.96811336152203,40.75179800000001,-73.976908,mid_block,654.0407258475022,239.8374924330108,True,True,east_42nd_street,Eastbound,east_42nd_street_013,east_42nd_street,-218.42731670303408,312.0900738789083,east_42nd_street_013,0.0,0.0,298.6,118.6,True,
n00654,East 42nd Street,east_42nd_street,260.00915338864047,40.751711,-73.9767,mid_block,654.133818189926,259.8420467840425,True,True,east_42nd_street,Eastbound,east_42nd_street_014,east_42nd_street,-198.3884487004964,312.1514384772697,east_42nd_street_014,0.0,0.0,298.6,118.6,True,
n00655,East 42nd Street,east_42nd_street,280.0502141529629,40.75162399999999,-73.976492,mid_block,654.2269105323498,279.84660113507425,True,True,east_42nd_street,Eastbound,east_42nd_street_015,east_42nd_street,-178.3495806979587,312.2128030756311,east_42nd_street_015,0.0,0.0,298.6,118.6,True,
n00656,East 42nd Street,east_42nd_street,300.01736350805913,40.751537,-73.976285,mid_block,654.2791168536778,299.7773951482861,True,True,east_42nd_street,Eastbound,east_42nd_street_016,east_42nd_street,-158.38453454801737,312.2332475529033,east_42nd_street_016,0.0,0.0,299.0,119.0,True,
n00657,East 42nd Street,east_42nd_street,320.0384682451335,40.751449,-73.976078,mid_block,654.2346427120298,319.7617800185943,True,True,east_42nd_street,Eastbound,east_42nd_street_017,east_42nd_street,-138.3656502035785,312.1565653587184,east_42nd_street_017,0.0,0.0,29.2,209.2,True,
n00658,East 42nd Street,east_42nd_street,340.0595937703623,40.751361,-73.975871,mid_block,654.1901685710686,339.7461648885219,True,True,east_42nd_street,Eastbound,east_42nd_street_018,east_42nd_street,-118.34676585913964,312.0798831645335,east_42nd_street_018,0.0,0.0,299.1,119.1,True,
