node_id,osm_name,d
n00584,East 40th Street,316.56561288658366
n00585,East 40th Street,334.3456741116336
n00586,East 40th Street,352.4015308941065
n00587,East 40th Street,370.6535831845094
n00588,East 40th Street,389.1605734609835
n00589,East 40th Street,407.72564894239565
n00590,East 40th Street,426.5566947534284
n00591,East 40th Street,445.359226659339
n00592,East 40th Street,464.2590986160059
n00593,East 40th Street,483.3255616717051
n00594,East 40th Street,502.38661044590805
n00595,East 41st Street,79.72530952356183
n00596,East 41st Street,91.11408508523543
n00597,East 41st Street,102.10391168635438
n00598,East 41st Street,93.44731100179422
n00599,East 41st Street,80.78345845364684
n00600,East 41st Street,71.63777337705028
n00601,East 41st Street,67.43787378093639
n00602,East 41st Street,59.6972002938286
n00603,East 41st Street,45.0424583233063
n00604,East 41st Street,36.43330609760233
n00605,East 41st Street,37.61992030748902
n00606,East 41st Street,47.70479421540561
n00607,East 41st Street,62.632500870932745
n00608,East 41st Street,74.7692390269702
n00609,East 41st Street,85.10628516567368
n00610,East 41st Street,83.59869526260906
n00611,East 41st Street,76.2243460868023
n00612,East 41st Street,73.77235174211616
n00613,East 41st Street,73.73365262158292
n00614,East 41st Street,78.03603521146502
n00615,East 41st Street,71.15595748726334
n00616,East 41st Street,68.05251007407863
n00617,East 41st Street,70.74683102500579
n00618,East 41st Street,78.7015497496771
n00619,East 41st Street,90.45034517456206
n00620,East 41st Street,104.84451491783939
n00621,East 41st Street,120.6712435371128
n00622,East 41st Street,137.67447796831414
n00623,East 41st Street,155.30739789674544
n00624,East 41st Street,173.534920139429
n00625,East 41st Street,192.08944544073418
n00626,East 41st Street,210.7772866049862
n00627,East 41st Street,229.80991751813477
n00628,East 41st Street,249.00093162763994
n00629,East 41st Street,268.2710455650123
n00630,East 41st Street,287.70897765501593
n00631,East 41st Street,307.13398435862405
n00632,East 41st Street,326.6974403054558
n00633,East 41st Street,346.3132870656335
n00634,East 41st Street,365.97310384136927
n00635,East 41st Street,385.59991365165473
n00636,East 41st Street,405.3295460172534
n00637,East 41st Street,425.0865093877389
n00638,East 41st Street,444.80055152090176
n00639,East 41st Street,464.601539960852
n00640,East 41st Street,530.2388415328613
n00641,East 42nd Street,29.598779606089703
n00642,East 42nd Street,41.8732884350804
n00643,East 42nd Street,24.4730459422869
n00644,East 42nd Street,16.79350301672311
n00645,East 42nd Street,27.661204226642575
n00646,East 42nd Street,18.230556842694934
n00647,East 42nd Street,16.111706735657936
n00648,East 42nd Street,21.71505090308432
n00649,East 42nd Street,17.69001151018544
n00650,East 42nd Street,21.63909264551124
n00651,East 42nd Street,23.174650339336054
n00652,East 42nd Street,17.55294731502253
n00653,East 42nd Street,18.3868902937573
n00654,East 42nd Street,34.16536283013113
n00655,East 42nd Street,42.82298254284156
n00656,East 42nd Street,31.51396235203379
n00657,East 42nd Street,20.811709677326434
n00658,East 42nd Street,9.564411396281654
n00659,East 42nd Street,11.498914894281057
n00660,East 42nd Street,13.348455267569973
n00661,East 42nd Street,25.41905847139637
n00662,East 42nd Street,15.119957667754822
n00663,East 42nd Street,24.750897021195353
n00664,East 42nd Street,42.35719274352122
n00665,East 42nd Street,61.48543842219848
n00666,East 42nd Street,81.02982287674631
n00667,East 42nd Street,100.78969783604002
n00668,East 42nd Street,120.63197873459266
n00669,East 42nd Street,140.5217704403646
n00670,East 42nd Street,160.40724524933265
n00671,East 42nd Street,180.28280556844527
n00672,East 42nd Street,200.25365776313853
n00673,East 42nd Street,220.14479806541976
n00674,East 42nd Street,240.16664559562315
n00675,East 42nd Street,260.041988789253
n00676,East 42nd Street,280.03784878394504
n00677,East 42nd Street,299.96597886943164
n00678,East 42nd Street,319.95521095827195
n00679,East 42nd Street,339.9482688914842
n00680,East 42nd Street,359.8951637052732
n00681,East 42nd Street,379.8938477018539
n00682,East 42nd Street,399.84503014990963
n00683,East 42nd Street,419.84780922533076
n00684,East 42nd Street,439.80213132992725
n00685,East 42nd Street,459.8079898877523
n00686,East 42nd Street,479.76468032441466
n00687,East 42nd Street,499.75038979725895
n00688,East 42nd Street,517.6909314641842
n00689,Lexington Avenue,148.44149371168126
n00690,Lexington Avenue,158.05909617492583
n00691,Lexington Avenue,168.05854522281282
n00692,Lexington Avenue,179.733496185621
n00693,Lexington Avenue,192.7282545638156
n00694,Lexington Avenue,207.02657824779675
n00695,Lexington Avenue,222.20533992164013
n00696,Lexington Avenue,238.01956644078726
n00697,Lexington Avenue,254.54211006994024
n00698,Lexington Avenue,271.25292386857916
n00699,Lexington Avenue,288.5876186757848
