node_id,osm_name,street_category,chain,chain_pos_m,lat,lon,typology,northing_m,easting_m,along_dist,cross_dist,n_images,directions,name_resolved,excluded_by_pattern,collides_m,intersection_dup,axis_mismatch,frame_ok,nearest_img_m,nearest_img_node,reusable
1st_avenue_045,1st Avenue,1st_avenue,1st_avenue#0,898.9316486517537,40.748937,-73.969897,avenue_secondary,664.0898230276827,910.2946468687558,321.1016300779478,453.1687576465654,2,Northbound/Southbound,True,False,11.912110243869565,False,False,True,11.207061237960408,n00036,False
1st_avenue_046,1st Avenue,1st_avenue,1st_avenue#0,918.125673713001,40.748857,-73.969695,avenue_secondary,664.614362476223,929.4815032141479,321.59736065902223,472.38782718348295,2,Northbound/Southbound,True,False,14.165779598535538,False,False,True,4.927830267165967,n00043,True
2nd_avenue_001,2nd Avenue,2nd_avenue,2nd_avenue#0,0.0,40.744777,-73.975898,avenue_secondary,16.542081357575512,690.5968279098503,-328.50697040922375,234.130710703842,2,Northbound/Southbound,True,False,9.859505526813752,False,False,True,5.72132003891583,n00052,False
2nd_avenue_002,2nd Avenue,2nd_avenue,2nd_avenue#0,19.922120332799324,40.744934,-73.975782,avenue_secondary,36.46369251007479,690.7392626077037,-308.51134886941054,234.24144911252756,2,Northbound/Southbound,True,False,20.45424690298708,False,False,True,5.728889159765041,n00051,False
2nd_avenue_003,2nd Avenue,2nd_avenue,2nd_avenue#0,39.899531619247654,40.745092,-73.975667,avenue_secondary,56.44109810228758,690.7543461132119,-288.4595207786479,234.2245274751682,2,Northbound/Southbound,True,False,39.24258356818233,False,False,True,5.6804687448667455,n00050,False
2nd_avenue_004,2nd Avenue,2nd_avenue,2nd_avenue#0,59.821651952047034,40.745249,-73.975551,avenue_secondary,76.36270925478692,690.8967808110654,-268.46389923883464,234.33526588385376,2,Northbound/Southbound,True,False,26.412790671283098,False,False,True,5.687689441100507,n00049,False
2nd_avenue_005,2nd Avenue,2nd_avenue,2nd_avenue#0,79.74377228425789,40.745406,-73.975435,avenue_secondary,96.2843204067052,691.0392155078705,-248.46827769960296,234.4460042914902,2,Northbound/Southbound,True,False,6.906058310013679,False,False,True,5.695078293822569,n00048,False
2nd_avenue_006,2nd Avenue,2nd_avenue,2nd_avenue#0,99.665892616373,40.745563,-73.975319,avenue_secondary,116.20593155851753,691.1816502061047,-228.47265616047983,234.5567427005583,2,Northbound/Southbound,True,False,13.839563893758394,False,False,True,5.702599883417117,n00047,False
2nd_avenue_007,2nd Avenue,2nd_avenue,2nd_avenue#0,119.54673635761358,40.74572,-73.975204,avenue_secondary,136.08665668854724,691.2503245668997,-208.51795474175583,234.5936592566474,2,Northbound/Southbound,True,False,33.56764502692496,False,False,True,5.751058081583693,n00046,False
2nd_avenue_008,2nd Avenue,2nd_avenue,2nd_avenue#0,139.56522512172432,40.745878,-73.975088,avenue_secondary,156.1049483032297,691.3391684094663,-188.42520652990396,234.6505594718845,2,Northbound/Southbound,True,False,25.54421973969193,False,False,True,5.66162165193695,n00045,False
2nd_avenue_009,2nd Avenue,2nd_avenue,2nd_avenue#0,159.48734545452368,40.746035,-73.974972,avenue_secondary,176.026559455729,691.4816031073196,-168.42958499009077,234.76129788057003,2,Northbound/Southbound,True,False,8.451509757195618,False,False,True,5.669000610940787,n00044,False
2nd_avenue_010,2nd Avenue,2nd_avenue,2nd_avenue#0,179.4094657867346,40.746192,-73.974856,avenue_secondary,195.94817060764734,691.6240378041248,-148.43396345085898,234.87203628820652,2,Northbound/Southbound,True,False,16.85617481364384,False,False,True,14.323646931875908,n00044,False
2nd_avenue_011,2nd Avenue,2nd_avenue,2nd_avenue#0,199.2903095285598,40.746349,-73.974741,avenue_secondary,215.82889573825804,691.692712165968,-128.47926203155347,234.90895284534471,2,Northbound/Southbound,True,False,35.89908739528516,False,False,True,34.27491216431106,n00044,False
